brand,model,slug,c_rating,capacity_mah,cells,chemistry,connector,dimensions_mm,price_per_wh_usd,price_usd,weight_g,sources,note
Auline,18650 2000mAh 4S,auline-18650-2000mah-4s,30C,2000,4S,Li-ion,XT60,,1.08,30.99,194.6,https://www.racedayquads.com/products/auline-14-8v-4s-18650-2000mah-30c-li-ion-battery-xt60,
Auline,3000mAh 3S,auline-3000mah-3s,10C,3000,3S,Li-ion,XT30,,1.47,47.49,150.0,https://www.racedayquads.com/products/auline-11-1v-3s-3000mah-10c-li-ion-battery-xt30,
Auline,3000mAh 6S,auline-3000mah-6s,10C,3000,6S,Li-ion,XT60,,1.44,92.99,297.0,https://www.racedayquads.com/products/auline-22-2v-6s-3000mah-10c-li-ion-battery-xt60,
Auline,3300mAh 6S,auline-3300mah-6s,45C,3300,6S,LiPo,XT60,,1.02,74.49,430.0,https://www.racedayquads.com/products/auline-22-2v-6s-3300mah-45c-liion-battery-xt60,
Auline,EX 1050mAh 6S,auline-ex-1050mah-6s,120C,1050,6S,LiPo,XT60,,1.87,43.49,193.6,https://www.racedayquads.com/products/auline-ex-22-2v-6s-1050mah-120c-lipo-battery-xt60,
Auline,EX 1550mAh 4S,auline-ex-1550mah-4s,120C,1550,4S,LiPo,XT60,,1.57,35.99,176.6,https://www.racedayquads.com/products/auline-sr-14-8v-4s-1350mah-120c-lipo-battery-xt60-1,
Auline,EX 500mAh 1S,auline-ex-500mah-1s,80C,500,1S,LiHV,PH2.0,,2.21,4.19,13.2,https://www.racedayquads.com/products/auline-ex-3-8v-1s-500mah-80c-lihv-whoop-micro-battery-ph2-0,
Auline,SR 1350mAh 4S,auline-sr-1350mah-4s,120C,1350,4S,LiPo,XT60,,2.38,47.49,154.0,https://www.racedayquads.com/products/auline-sr-14-8v-4s-1350mah-120c-lipo-battery-xt60,
Auline,SR 1350mAh 6S,auline-sr-1350mah-6s,120C,1350,6S,LiHV,XT60,,1.26,38.89,219.0,https://www.racedayquads.com/products/auline-sr-22-2v-6s-1350mah-120c-lipo-battery-xt60,
BetaFPV,450mAh 1S,betafpv-450mah-1s,30C,450,1S,LiHV,BT2.0,,20.75,35.49,12.7,https://www.racedayquads.com/products/betafpv-3-8v-1s-450mah-30c-lihv-whoop-micro-battery-4-pack-bt2-0,
BetaFPV,550mAh 1S,betafpv-550mah-1s,40C,550,1S,LiHV,BT2.0,,15.55,32.49,13.99,https://www.racedayquads.com/products/betafpv-3-8v-1s-550mah-40c-lihv-whoop-micro-battery-4-pack-bt2-0,
BetaFPV,Aquila16 Exclusive 1100mAh 1S,betafpv-aquila16-exclusive-1100mah-1s,15C,1100,1S,LiHV,BT2.0,62.8x41.3x17.8mm,5.26,21.99,25.5,https://www.racedayquads.com/products/betafpv-3-8v-1s-1100mah-15c-lihv-aquila16-exclusive-battery-2-pack-bt2-0,
BetaFPV,Aquila16 Exclusive 650mAh 1S,betafpv-aquila16-exclusive-650mah-1s,15C,650,1S,LiHV,BT2.0,62.8x41.3x17.8mm,5.66,13.99,22.0,https://www.racedayquads.com/products/draft-betafpv-aquila16-exclusive-battery-2pcs-650mah,
BetaFPV,LAVA II Pack 480mAh 1S,betafpv-lava-ii-pack-480mah-1s,95C,480,1S,LiHV,BT2.0,61 x 15.5 x 6 mm,14.8,26.99,12.6,https://www.racedayquads.com/products/betafpv-lava-ii-480mah-1s-95c-lihv-battery-pack-4-pcs-bt2-0,
BetaFPV,LAVA II Pack 580mAh 1S,betafpv-lava-ii-pack-580mah-1s,95C,580,1S,LiHV,BT2.0,70 x 15 x 6.5 mm,13.15,28.99,14.1,https://www.racedayquads.com/products/betafpv-lava-ii-580mah-1s-95c-lihv-battery-pack-4-pcs-bt2-0,
