brand,model,slug,aspect_ratio,fov_deg,input_voltage,lens_mm,price_usd,resolution,resolution_tvl,sensor,size_class,system,weight_g,sources,note
AKK,AIO-SA Whoop/Micro AIO & 25-200mW w/ Smart Audio,akk-aio-sa-whoop-micro-aio-25-200mw-w-smart-audio,,,3.2-5.5V,,29.99,,,,micro,analog,4.3,https://www.racedayquads.com/products/akk-aio-sa-fpv-camera-for-whoops-and-2-builds-smart-audio,
Caddx,Ant Lite Nano 1200TVL CMOS PAL/NTSC - Choose Your Aspect Ratio,caddx-ant-lite-nano-1200tvl-cmos-pal-ntsc-choose-your-aspect-ratio,4:3 / 16:9 switchable,,,,19.49,,1200,"1/3"" CMOS",nano,analog,1.7,https://www.racedayquads.com/products/caddx-ant-lite-nano-1200tvl-cmos-pal-ntsc-fpv-camera-choose-your-version,
Caddx,Ant Nano 1200TVL CMOS PAL/NTSC (1.8mm) - Choose Color & Aspect Ratio,caddx-ant-nano-1200tvl-cmos-pal-ntsc-1-8mm-choose-color-aspect-ratio,4:3 / 16:9 switchable,,,,19.49,,1200,"1/3"" CMOS",nano,analog,2.0,https://www.racedayquads.com/products/caddx-ant-1200tvl-nano-fpv-camera-1-8mm-choose-color-aspect-ratio,
Caddx,Baby Ratel 2 1200TVL CMOS 4:3/16:9 NTSC/PAL (1.8mm),caddx-baby-ratel-2-1200tvl-cmos-4-3-16-9-ntsc-pal-1-8mm,4:3 / 16:9 switchable,,,,31.49,,1200,"1/1.8"" starlight HDR",nano,analog,3.0,https://www.racedayquads.com/products/caddx-baby-ratel-2-1200tvl-cmos-4-3-16-9-ntsc-pal-fpv-camera-1-8mm-black,
Caddx,Nebula Pro Nano 720p/120fps HD for DJI,caddx-nebula-pro-nano-720p-120fps-hd-for-dji,4:3 / 16:9 switchable,150,,,80.49,720p/120fps,,"1/3"" CMOS",nano,DJI,3.5,https://www.racedayquads.com/products/caddx-nebula-pro-nano-720p-120fps-hd-fpv-camera-for-dji,
Caddx,Ratel 2 Micro 1200TVL CMOS 4:3/16:9 NTSC/PAL (2.1mm) - Choose Your,caddx-ratel-2-micro-1200tvl-cmos-4-3-16-9-ntsc-pal-2-1mm-choose-your,4:3 / 16:9 switchable,165,,2.1,37.49,,1200,"1/1.8"" Starlight",micro,analog,5.9,https://www.racedayquads.com/products/caddx-ratel-2-1200tvl-16-9-4-3-ntsc-pal-micro-fpv-camera,
Caddx,Ratel PRO Micro 1500TVL BSI PAL/NTSC (2.8mm),caddx-ratel-pro-micro-1500tvl-bsi-pal-ntsc-2-8mm,4:3 / 16:9 switchable,125,,,59.99,,1500,"1/1.8""",micro,analog,9.5,https://www.racedayquads.com/products/caddx-ratel-pro-micro-1500tvl-bsi-pal-ntsc-fpv-camera-2-8mm-black,
Caddx,Walksnail Avatar HD Micro & Kit (Compatible w/ Fat Shark Dominator HD),caddx-walksnail-avatar-hd-micro-kit-compatible-w-fat-shark-dominator-hd,,170,6-25.2V,,128.99,1080p 60FPS / 720P 120FPS / 720P 60FPS,,,micro,Walksnail,16.0,https://www.racedayquads.com/products/walksnail-hd-micro-camera-vtx-combo,
Caddx,Walksnail Avatar HD Micro & Kit V2 - 32GB,caddx-walksnail-avatar-hd-micro-kit-v2-32gb,4:3 / 16:9 switchable,160,,,178.99,,,"1/3.2"" 4Mp 4:3",micro,Walksnail,17.6,https://www.racedayquads.com/products/walksnail-avatar-hd-micro-camera-vtx-kit-v2-choose-version,
Caddx,Walksnail Avatar HD Nano V3 20x20 Kit w/ Nano (Compatible w/ Fat Shark Dominator HD),caddx-walksnail-avatar-hd-nano-v3-20x20-kit-w-nano-compatible-w-fat-shark-dominator-hd,4:3 / 16:9 switchable,160,,2.1,130.99,"1080P/60fps,720P/120fps,720P/60fps",,"1/3.2"" 4Mp 4:3",nano,Walksnail,3.0,https://www.racedayquads.com/products/walksnail-avatar-hd-nano-v3-vtx-kit-w-nano-camera,
