brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
Antigravity,A1,antigravity-a1,2,15.0,5mm (standard),15.0,11.99,,0.95,https://www.racedayquads.com/products/antigravity-a1-propellers,
APC,10x10EP 2-Blade (CW),apc-10x10ep-2-blade-cw,2,10.0,5mm (standard),10.0,3.49,,20.13,https://www.racedayquads.com/products/apc-10x10ep-2-blade-propeller-cw-gray,
APC,10x6EP 2-Blade (CW),apc-10x6ep-2-blade-cw,2,6.35,5mm (standard),6.0,3.49,,20.1,https://www.racedayquads.com/products/apc-10x6ep-2-blade-propeller-cw-gray,
APC,7x4 SF-B4 2-Blade,apc-7x4-sf-b4-2-blade,2,7.0,5mm,4.0,6.99,,5.1,https://www.racedayquads.com/products/apc-7x4-sf-b4-2-blade-propellers-set-of-4,
APC,B10x6E 2-Blade (CCW),apc-b10x6e-2-blade-ccw,2,6.35,5mm (standard),6.0,3.49,,20.13,https://www.racedayquads.com/products/apc-b10x6e-2-blade-propeller-ccw-black,
APC,B10x7E 2-Blade (CCW),apc-b10x7e-2-blade-ccw,2,7.0,5mm (standard),7.0,3.49,,20.13,https://www.racedayquads.com/products/apc-b10x7e-2-blade-propeller-ccw-black,
Axisflying,"BB39 4926 Tri-Blade 5"" Prop - Choose Version",axisflying-bb39-4926-tri-blade-5-prop-choose-version,5,5.0,5mm,2.6,4.49,,3.7,https://www.racedayquads.com/products/draft-axis-flying-bb39-propeller-choose-your-color,
Azure Power,"Johnny Freestyle 4.8x3.8x3 POPO Compatible Tri-Blade 5"" Prop - Choose Your",azure-power-johnny-freestyle-4-8x3-8x3-popo-compatible-tri-blade-5-prop-choose-your,3,5.0,5mm (standard),3.8,4.99,,3.9,https://www.racedayquads.com/products/azure-johnny-freestyle-5-prop,
Azure Power,"Vanover Limited Edition 5.1x3.0x3 POPO Compatible Tri-Blade 5"" Prop - Choose Your",azure-power-vanover-limited-edition-5-1x3-0x3-popo-compatible-tri-blade-5-prop-choose-your,3,5.1,5mm (standard),3.0,4.99,,4.05,https://www.racedayquads.com/products/azure-power-vanover-limited-edition-5-1x4-5x3-popo-compatible-tri-blade-5-prop-set-of-4-choose-your-color,
EMAX,"Avan FLOW 5x4.3x3 Tri-Blade 5"" Prop - Choose Your",emax-avan-flow-5x4-3x3-tri-blade-5-prop-choose-your,3,5.0,5mm (standard),4.3,4.99,,4.4,https://www.racedayquads.com/products/emax-avan-flow-5-tri-blade-prop-set-of-4,
EMAX,"Avan Scimitar 5x2.8x4 Quad-Blade 5"" Prop",emax-avan-scimitar-5x2-8x4-quad-blade-5-prop,4,5.0,5mm (standard),2.8,3.99,,6.2,https://www.racedayquads.com/products/emax-avan-scimitar-5x2-8x4-quad-blade-5-prop-4-pack,
EMAX,"Avan Scimitar 5x3x3 Tri-Blade 5"" Prop",emax-avan-scimitar-5x3x3-tri-blade-5-prop,3,5.0,5mm (standard),3.0,3.99,,5.4,https://www.racedayquads.com/products/emax-avan-scimitar-5x3x3-tri-blade-5-prop-4-pack,
EMAX,"Scimitar 3.5x2.8x3 Tri-Blade 3.5"" Prop (1.5mm)",emax-scimitar-3-5x2-8x3-tri-blade-3-5-prop-1-5mm,3,3.5,1.5mm T-mount,2.8,3.99,,1.9,https://www.racedayquads.com/products/emax-scimitar-3-5x2-8x3-tri-blade-3-prop-4-pack-1-5mm,
Foxeer,"DAL Cyclone T5045C Pro Tri-Blade 5"" Prop 20 Pack",foxeer-dal-cyclone-t5045c-pro-tri-blade-5-prop-20-pack,3,5.0,5mm,4.5,11.99,,5.4,https://www.racedayquads.com/products/dal-cyclone-t5045c-pro-tri-blade-5-prop-20-pack-choose-your-color,
Foxeer,"DAL Foldable F6 V3 CNC Hub 6048 Tri-Blade 6"" Prop",foxeer-dal-foldable-f6-v3-cnc-hub-6048-tri-blade-6-prop,3,6.0,5mm,4.8,19.89,,6.3,https://www.racedayquads.com/products/dal-foldable-f6-v3-cnc-hub-6048-tri-blade-6-prop-4-pack-crystal-grey,
Foxeer,"DAL New Cyclone T2530 Tri-Blade 2.5"" Prop - Choose",foxeer-dal-new-cyclone-t2530-tri-blade-2-5-prop-choose,3,2.5,1.5mm,3.0,2.99,,1.4,https://www.racedayquads.com/products/dal-new-cyclone-t2530-tri-blade-3-prop-8-pack-choose-color,
Foxeer,"DAL New Cyclone T3018 Tri-Blade 3"" Prop",foxeer-dal-new-cyclone-t3018-tri-blade-3-prop,3,3.0,1.5mm,1.8,2.99,,1.3,https://www.racedayquads.com/products/dal-prop-new-cyclone-t3018-tri-blade-3-prop-8-pack-choose-color,
Foxeer,"DAL New Cyclone T3528 Tri-Blade 3.5"" Prop",foxeer-dal-new-cyclone-t3528-tri-blade-3-5-prop,3,3.5,1.5mm,2.8,3.99,,2.4,https://www.racedayquads.com/products/dal-new-cyclone-t3528-tri-blade-3-5-prop-8-pack-crystal-black,
Foxeer,"DAL New Cyclone T4024 Tri-Blade 4"" Prop",foxeer-dal-new-cyclone-t4024-tri-blade-4-prop,3,4.0,T-mount,2.4,4.99,,2.1,https://www.racedayquads.com/products/dal-new-cyclone-t4024-tri-blade-4-prop-8-pack,
Foxeer,"DAL New Cyclone T5146.5 V2 Tri-Blade 5"" Prop - Choose Your",foxeer-dal-new-cyclone-t5146-5-v2-tri-blade-5-prop-choose-your,3,5.1,5mm,4.65,3.99,,4.5,https://www.racedayquads.com/products/dal-cyclone-t5146-5-tri-blade-5-prop-4-pack-choose-your-color,
Foxeer,"DAL SpitFire T5148.5 Tri-Blade 5"" Prop - Choose Your",foxeer-dal-spitfire-t5148-5-tri-blade-5-prop-choose-your,5,5.0,5mm (standard),4.85,2.99,,4.2,https://www.racedayquads.com/products/dal-spitfire-t5148-5-tri-blade-5-prop-4-pack-choose-your-color,
Gemfan,"1170 Reinforced Glass Fiber Nylon Tri-Blade 11"" Prop",gemfan-1170-reinforced-glass-fiber-nylon-tri-blade-11-prop,3,11.0,1.5mm,7.0,16.99,,27.7,https://www.racedayquads.com/products/gemfan-1170-3-glass-fiber-nylon-black,
Gemfan,13x12x3 Glass Fiber Nylon 3-Blade,gemfan-13x12x3-glass-fiber-nylon-3-blade,3,13.0,6mm,12.0,13.99,,44.3,https://www.racedayquads.com/products/gemfan-13x12x3-glass-fiber-nylon-3-blade-propeller-set-of-2,
Gemfan,15x10x3 Glass Fiber Nylon 3-Blade,gemfan-15x10x3-glass-fiber-nylon-3-blade,3,15.0,6mm,10.0,17.99,,70.0,https://www.racedayquads.com/products/gemfan-15x10x3-glass-fiber-nylon-3-blade-propeller-set-of-2,
Gemfan,16X8X3 Glass Fiber Nylon 3-Blade,gemfan-16x8x3-glass-fiber-nylon-3-blade,3,16.0,6mm,8.0,19.49,,84.9,https://www.racedayquads.com/products/gemfan-16x8x3-glass-fiber-nylon-3-blade-propeller-set-of-2,
Gemfan,2216 3-Blade - 1.5mm,gemfan-2216-3-blade-1-5mm,3,2.2,1.5mm,1.6,3.29,,0.7,https://www.racedayquads.com/products/gemfan-2216-3-blade-propeller-set-of-8-1-5mm,
Gemfan,3032 3-Blade for DJI AVATA 2,gemfan-3032-3-blade-for-dji-avata-2,3,3.0,2mm,3.2,3.49,,1.8,https://www.racedayquads.com/products/gemfan-3032-3-blade-propeller-for-dji-avata-2-set-of-4,
Gemfan,3525 Hurricane 3-Blade - 1.5mm,gemfan-3525-hurricane-3-blade-1-5mm,3,3.5,1.5mm T-mount,2.5,2.69,,1.83,https://www.racedayquads.com/products/gemfan-3525-hurricane-3-blade-propeller-set-of-4-1-5mm,
Gemfan,353D 3D 3-Blade,gemfan-353d-3d-3-blade,3,2.5,1.5mm,2.5,2.89,,2.4,https://www.racedayquads.com/products/gemfan-353d-3d-3-blade-propeller-set-of-4,
Gemfan,4022F 2-Blade - DJI Flip Drone,gemfan-4022f-2-blade-dji-flip-drone,2,2.95,2.95mm,2.2,3.99,,0.37,https://www.racedayquads.com/products/gemfan-4022f-2-blade-propellers-set-of-8-dji-flip-drone,
Gemfan,493D 3D 3-Blade,gemfan-493d-3d-3-blade,3,12.0,5mm,3.2,2.99,,4.4,https://www.racedayquads.com/products/gemfan-493d-3d-3-blade-propeller-set-of-4,
Gemfan,"7035 Reinforced Carbon Or Glass Nylon Tri-Blade 7"" Prop - Choose Version",gemfan-7035-reinforced-carbon-or-glass-nylon-tri-blade-7-prop-choose-version,3,7.0,5mm,3.5,6.99,,6.9,https://www.racedayquads.com/products/gemfan-7035-reinforced-carbon-or-glass-nylon-tri-blade-7-prop-4-pack-choose-version,
