brand,model,slug,class,manufacturer_flight_time_min,motors,prop_mount,prop_size_in,recommended_battery,typical_auw_g,typical_current_a,vtx_system,weight_no_battery_g,sources,note
Axisflying,KOLAS 6,axisflying-kolas-6,long range (foldable),,Axisflying AE2306.5 1800KV,M5,6,"{""cells"": ""6S"", ""capacity_mah"": 2200, ""range_mah"": ""1800-3000"", ""connector"": ""XT60"", ""chemistry"": ""LiPo / Li-ion""}",,10,DJI Vista/Nebula HD (Walksnail variant on Kolas 7),385,https://www.getfpv.com/axisflying-kolas-6-long-range-6-bnf-hd-drone-6s.html,"Foldable arms, 245mm. BNF ~385g with electronics (frame alone 138g). Gemfan 6030 folding props."
Axisflying,Manta 3.5,axisflying-manta-3-5,freestyle/cinematic (3.5in),,Axisflying AF155 (2204.5),T-mount,3.5,"{""cells"": ""4S"", ""capacity_mah"": 1300, ""range_mah"": ""1300-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,11,RunCam Link (DJI HD); O3 variants available,233,https://buzzfpv.com.au/products/axisflying-manta-3-5inch-squashed-x-freestyle-hd-bnf-fpv-drone,"233g for BNF with RunCam Link + MIPI cam. Gemfan 3520 tri-blade, wheelbase 162mm. Connector not stated by Axisflying - XT60 is class-standard."
Axisflying,Manta 5 SE,axisflying-manta-5-se,freestyle,,Axisflying AE2207 V2 1960KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1300, ""range_mah"": ""1100-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",652.7,13,analog Smurfs 1.6W (O3/O4 variants),461.1,https://oscarliang.com/axisflying-manta-5-se-analog-bnf/,Analog SE version. 223mm SquashedX. V2 with O4 Pro exists.
BetaFPV,Air65,betafpv-air65,tiny whoop (racing),4 (1S 260),BetaFPV 0702SE II 27000KV (racing) / 23000KV (freestyle),1.0mm shaft,1.2,"{""cells"": ""1S"", ""capacity_mah"": 300, ""range_mah"": ""260-300"", ""connector"": ""BT2.0"", ""chemistry"": ""LiHV (LAVA)""}",,3,analog 25-400mW,17.3,https://betafpv.com/products/air65-brushless-whoop-quadcopter,Lightest 65mm racing whoop class. GF 1219S 3-blade props.
BetaFPV,Air75,betafpv-air75,tiny whoop,6.5 (1S 450),BetaFPV 0802SE 23000KV,1.0mm shaft,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""connector"": ""BT2.0"", ""chemistry"": ""LiHV (LAVA 75C)""}",,3,analog 25-400mW,21,https://betafpv.com/products/air75-brushless-whoop-quadcopter,Lightest 75mm class. Gemfan 40mm 2-blade props.
BetaFPV,Aquila16,betafpv-aquila16,whoop (beginner RTF),5 (650mAh) / 8 (1100mAh),BetaFPV 1102 18000KV,,1.8,"{""cells"": ""1S"", ""capacity_mah"": 1100, ""range_mah"": ""650 or 1100"", ""connector"": ""Aquila16 exclusive"", ""chemistry"": ""LiHV""}",72.5,7,analog,47.1,https://betafpv.com/products/aquila16-fpv-kit,"Uses proprietary Aquila16 battery. Beta 45mm 3-blade props, wheelbase 86mm."
BetaFPV,Beta95X V3,betafpv-beta95x-v3,cinewhoop (pusher),3.5 (4S 450),BetaFPV 1404 4500KV,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 450, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,Caddx Nebula Nano HD (analog variant),99.1,https://betafpv.com/products/beta95x-v3-whoop-quadcopter,"SMO 4K-ready pusher. Gemfan D63 props, 95mm wheelbase."
BetaFPV,Cetus Pro,betafpv-cetus-pro,whoop (beginner RTF),4-5,BetaFPV 1102 18000KV,1.5mm shaft,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""connector"": ""BT2.0"", ""chemistry"": ""LiHV (75C)""}",45.8,4,analog,33.19,https://betafpv.com/products/cetus-pro-fpv-kit,RTF kit with LiteRadio 2 SE + VR02 goggles. 40mm 3-blade props.
BetaFPV,Cetus X,betafpv-cetus-x,whoop (beginner RTF),5,BetaFPV 1103 11000KV,,2,"{""cells"": ""2S (2x 1S in series)"", ""capacity_mah"": 450, ""connector"": ""BT2.0 x2"", ""chemistry"": ""LiHV""}",81,4,analog,56,https://betafpv.com/products/cetus-x-brushless-quadcopter,Powered by two 1S 450mAh BT2.0 packs in series. Gemfan 2020 4-blade props.
BetaFPV,HX115 LR,betafpv-hx115-lr,toothpick (1S long range),3-5 (1S 450) / 15+ (18650 3000),BetaFPV 1102 18000KV,1.5mm shaft,3,"{""cells"": ""1S"", ""capacity_mah"": 450, ""range_mah"": ""450 LiPo or 18650 3000 Li-ion"", ""connector"": ""BT2.0"", ""chemistry"": ""LiHV / Li-ion""}",56,4,analog 350mW,44,https://betafpv.com/products/hx115-lr-toothpick-drone,"HQ 3020 bi-blade props, 126mm wheelbase."
BetaFPV,Meteor65 Pro,betafpv-meteor65-pro,tiny whoop,4.5,BetaFPV 0802SE 19500KV,1.0mm shaft,1.4,"{""cells"": ""1S"", ""capacity_mah"": 300, ""connector"": ""BT2.0"", ""chemistry"": ""LiHV (75C)""}",,3,analog (O4 variant available),23,https://betafpv.com/products/meteor65-pro-brushless-whoop-quadcopter-1s,35mm 3-blade props.
BetaFPV,Meteor75 Pro,betafpv-meteor75-pro,tiny whoop,,BetaFPV 1102 21000KV,1.0mm shaft,1.8,"{""cells"": ""1S"", ""capacity_mah"": 450, ""range_mah"": ""450-550"", ""connector"": ""BT2.0"", ""chemistry"": ""LiHV""}",,4,analog (O4 variant available),31,https://betafpv.com/products/meteor75-pro-brushless-whoop-quadcopter,"Analog 2024 edition. 45mm props, wheelbase 80.8mm. Largest 1S whoop class."
