brand,model,slug,bec_output,esc_current_a,esc_firmware,fc_firmware,gyro,kind,max_cells,mcu,mount_mm,price_usd,weight_g,sources,note
AIKON,3-6S F7 AIO Whoop/Toothpick w/ 60A 8Bit ESC,aikon-3-6s-f7-aio-whoop-toothpick-w-60a-8bit-esc,10V 1.5A for DJI,60,BLHeli_S (Supports BlueJay),,BMI270,AIO,3-6S,F722,25.5x25.5mm,115.49,14.0,https://www.racedayquads.com/products/aikon-3-6s-f7-aio-flight-controlller-w-60a-8bit-esc,
AIKON,3-6S F7 Mini AIO Whoop w/32Bit 45A 4in1 ESC,aikon-3-6s-f7-mini-aio-whoop-w-32bit-45a-4in1-esc,,45,BLHeli_32,Betaflight AIKONF7 Target,MPU6000,AIO,3-6S,F722,25.5x25.5mm,155.99,14.5,https://www.racedayquads.com/products/aikon-f7-mini-25x25-aio-flight-controller-w-45a-32bit-4in1-esc,
AIRBOT,Fenix G4 4-6S AIO Toothpick/Whoop (w/ 35A 32Bit AM32 4in1 ESC),airbot-fenix-g4-4-6s-aio-toothpick-whoop-w-35a-32bit-am32-4in1-esc,5V 2.5A + 10V 2.5A,35,,,ICM42688,AIO,4-6S,G473,25.5x25.5mm,89.99,10.4,https://www.racedayquads.com/products/airbot-fenix-g4-4-6s-aio-toothpick-whoop-flight-controller-w-35a-32bit-am32-4in1-esc,
Axisflying,Argus F722 3-6S 30x30 Stack/Combo (F7 FC / 32bit 55A 4in1 ESC),axisflying-argus-f722-3-6s-30x30-stack-combo-f7-fc-32bit-55a-4in1-esc,,55,,,BMI270,stack,3-6S,F722,30.5x30.5mm,136.99,16.2,https://www.racedayquads.com/products/axisflying-argus-f722-3-6s-30x30-stack-combo-f7-fc-32bit-55a-4in1-esc,
Axisflying,Argus F722 F7 4-6S AIO Whoop/Toothpick (w/ 40A 8Bit 4in1 ESC),axisflying-argus-f722-f7-4-6s-aio-whoop-toothpick-w-40a-8bit-4in1-esc,,40,,,ICM42688P,AIO,4-6S,F722,25.5x25.5mm / 26.5x26.5mm,101.99,,https://www.racedayquads.com/products/axisflying-argus-f722-f7-4-6s-whoop-toothpick-aio-flight-controller-w-40a-8bit-4in1-esc-pink-aluminum-shell,
Axisflying,Argus F745 AIO - F745 FC + 40A 4-6S AM32 ESC,axisflying-argus-f745-aio-f745-fc-40a-4-6s-am32-esc,5V / 2A(Max 3A) 12V / 2A(Max 3A),40,,,ICM42688P,AIO,4-6S,F745,20x20mm,91.99,14.4,https://www.racedayquads.com/products/axisflying-argus-f745-aio-f745-fc-40a-4-6s-am32-esc,
Axisflying,Argus PRO F7 3-6S 30x30 Stack/Combo (F722 FC / 32Bit 65A 4in1 ESC + Heatsink),axisflying-argus-pro-f7-3-6s-30x30-stack-combo-f722-fc-32bit-65a-4in1-esc-heatsink,,65,,,BMI270,stack,3-6S,F722,30.5x30.5mm,187.49,32.0,https://www.racedayquads.com/products/axisflying-argus-pro-f722-3-6s-30x30-stack-combo-f7-fc-32bit-65a-4in1-esc,
Axisflying,ECO F405 4-6S 30x30 Stack/Combo (F405 FC / 32Bit 60A 4in1 ESC),axisflying-eco-f405-4-6s-30x30-stack-combo-f405-fc-32bit-60a-4in1-esc,,60,,SPDX-SPEDIXF405(Betaflight),ICM42688P,stack,4-6S,F405,30.5x30.5mm,119.99,7.0,https://www.racedayquads.com/products/draft-axis-flying-eco-f405-60a-stack,
BetaFPV,Air 4-in-1 AIO - G4 FC + 1S ESC + 400mW + OSD,betafpv-air-4-in-1-aio-g4-fc-1s-esc-400mw-osd,,5,A_X_5_96KHz_V0.19.hex for BB51 Bluejay hardware,Betaflight_4.5.0_BETAFPVG473,,AIO,1S,G473,26x26mm,53.99,2.9,https://www.racedayquads.com/products/betafpv-air-4-in-1-aio-g4-fc-1s-esc-400mw-vtx-osd,
BetaFPV,Air 5-in-1 AIO - G4 FC + 1S ESC + 400mW + ELRS RX + OSD,betafpv-air-5-in-1-aio-g4-fc-1s-esc-400mw-elrs-rx-osd,,5,A_X_5_96KHz_V0.19.hex for BB51 Bluejay hardware,Betaflight_4.5.0_BETAFPVG473,,AIO,1S,G473,26x26mm,59.99,3.6,https://www.racedayquads.com/products/betafpv-air-5-in-1-aio-g4-fc-1s-esc-400mw-vtx-elrs-rx-osd,
BetaFPV,F405 V5 2-4S HD AIO Whoop/Toothpick (w/ 20A 8Bit 4in1 ESC) - ICM42688,betafpv-f405-v5-2-4s-hd-aio-whoop-toothpick-w-20a-8bit-4in1-esc-icm42688,5V 3A,20,"G_H_20_48_v0.16.HEX (Default BLUEJAY), BLHeli_S (Optional)",betaflight_4.3.1_BETAFPVF405,,AIO,2-4S,F405,25.5x25.5mm,81.99,8.35,https://www.racedayquads.com/products/betafpv-f405-v5-2-4s-aio-whoop-toothpick-flight-controller-w-20a-8bit-4in1-esc-icm42688,
