brand,model,slug,antenna_connector,channels,frequency_range,input_voltage,max_power_mw,mount_mm,power_levels_mw,price_usd,system,weight_g,sources,note
AKK,FX3 Ultimate Mini 20x20 25-600mW 5.8GHz - MMCX & U.FL,akk-fx3-ultimate-mini-20x20-25-600mw-5-8ghz-mmcx-u-fl,MMCX,,5.8 GHz,,600,20x20mm,,26.49,analog,,https://www.racedayquads.com/products/akk-fx3-ultimate-mini-20x20-25-600mw-5-8ghz-vtx-w-smart-audio-mmcx-u-fl,
AKK,Infinite DVR 30x30 25-1000mW 5.8GHz - MMCX,akk-infinite-dvr-30x30-25-1000mw-5-8ghz-mmcx,MMCX,37,5.8 GHz,,1000,30x30mm,,28.99,analog,8.8,https://www.racedayquads.com/products/akk-infinite-dvr-30x30-25-1000mw-5-8ghz-vtx-w-smart-audio-mmcx,
AKK,RDQ Mach 3 25-1000mW 5.8GHz - Choose Version,akk-rdq-mach-3-25-1000mw-5-8ghz-choose-version,MMCX,,5.8 GHz,,1000,,,32.49,analog,,https://www.racedayquads.com/products/rdq-mach-3-video-transmitter-25-1000mw-5-8ghz-vtx-choose-version,
BetaFPV,C04 and Module - Cetus V2,betafpv-c04-and-module-cetus-v2,,,,,350,21x23.5mm,,47.99,analog,4.14,https://www.racedayquads.com/products/betafpv-c04-camera-and-vtx-module-cetus-v2,
BetaFPV,P1 Air Unit HD,betafpv-p1-air-unit-hd,,,5.1-5.9 GHz,,200,25.5x25.5mm,,46.49,Digital HD (other),,https://www.racedayquads.com/products/betafpv-p1-air-unit-hd-vtx,
Caddx,Walksnail Ascent Lite Kit,caddx-walksnail-ascent-lite-kit,IPEX,,5.730-5.815 GHz,,100,,25 / 100,39.99,Walksnail,6.0,https://www.racedayquads.com/products/walksnail-ascent-lite-vtx-kit|https://www.caddxfpv.com/products/walksnail-ascent-lite-kit,"Walksnail's own product page states the output levels in milliwatts in the feature copy - 'switches between 25mW and 100mW output' - and prints no EIRP row at all, so there is nothing for this figure to contradict. Output power, the same quantity as the analog listings in this column. The retail listing is a second source for the power figure and agrees: it prints 'Transmit Power (EIRP): <20dBm', and 20 dBm is 100 mW - an EIRP ceiling that matches the manufacturer's stated 100 mW output rather than exceeding it. That same listing is where mount_mm's '14x15mm' came from: it is two of the three figures in 'Camera: 12 x 14 x 15mm', not the 'Mounting Hole: 25mm' line, so the field was cleared rather than published."
Caddx,Walksnail Avatar GT2 Kit,caddx-walksnail-avatar-gt2-kit,MMCX,,5.725-5.850 GHz,,2000,25.5x25.5mm,,203.49,Walksnail,52.0,https://www.racedayquads.com/products/walksnail-avatar-gt2-kit,
CubePilot,Herelink Blue Air Unit V1.1,cubepilot-herelink-blue-air-unit-v1-1,MMCX,,,,200,30x17mm,,1399.0,analog,68.0,https://www.racedayquads.com/products/cubepilot-herelink-blue-air-unit-v1-1,
CubePilot,Herelink Blue Bundle V1.1,cubepilot-herelink-blue-bundle-v1-1,MMCX,,5.8 GHz,,200,10x40mm,,3999.0,analog,68.0,https://www.racedayquads.com/products/cubepilot-herelink-blue-bundle-v1-1,
DJI,O4 Air Unit,dji-o4-air-unit,,,5.170-5.250 / 5.725-5.850 GHz,,700,25.5x25.5mm,25 / 50 / 100 / 200 / 400 / 700,139.99,DJI,9.2,https://www.racedayquads.com/products/dji-o4-air-unit|https://dl.djicdn.com/downloads/DJI_O4_Air_Unit_Series/UM/DJI_O4_Air_Unit_Series_User_Manual_v1.0_en.pdf,"max_power_mw and power_levels_mw are DJI's own figures from the O4 Air Unit Series user manual v1.0 (section 4.3 Setting Transmission Power, p17): 'DJI O4 Air Unit: The maximum available transmission power levels are 25mW, 50mW, 100mW, 200mW, 400mW, and 700mW.' These are output-power levels in milliwatts, the same quantity the analog listings in this column print, and NOT the Transmitter Power (EIRP) dBm figures DJI publishes elsewhere - EIRP includes antenna gain and is a different measurement. Available levels are lower in regions whose regulations cap them (DJI states this in the same block)."
DJI,O4 Air Unit Pro,dji-o4-air-unit-pro,,,5.170-5.250 / 5.725-5.850 GHz,,1200,,25 / 50 / 100 / 200 / 400 / 700 / 1200,289.0,DJI,,https://www.racedayquads.com/products/dji-o4-air-unit-pro|https://dl.djicdn.com/downloads/DJI_O4_Air_Unit_Series/UM/DJI_O4_Air_Unit_Series_User_Manual_v1.0_en.pdf,"max_power_mw and power_levels_mw from DJI's O4 Air Unit Series user manual v1.0 (section 4.3, p17): 'DJI O4 Air Unit Pro: The maximum available transmission power levels are 25mW, 50mW, 100mW, 200mW, 400mW, 700mW, and 1200mW.' The same page adds that above 700mW the unit trims itself between the set value and 700mW based on the flight environment, so 1200 mW is the ceiling, not a sustained figure. Output power in milliwatts, not EIRP. Two scraped fields were cleared rather than published: mount_mm held '33.5x13mm', which is two of the three figures RaceDayQuads prints as 'Dimensions: 33.5 x 33.5 x 13 mm (L x W x H)' on the matching module SKU, and weight_g held 2.1 g on a kit whose camera-less transmission module the same retailer weighs at 15.6 g. Neither is replaced here, because DJI's manual states the mounting holes only in a drawing and carries no weight table."
DJI,O4 Air Unit Pro Transmission Module,dji-o4-air-unit-pro-transmission-module,,,,,1200,,25 / 50 / 100 / 200 / 400 / 700 / 1200,169.0,DJI,15.6,https://www.racedayquads.com/products/dji-o4-air-unit-pro-transmission-module|https://dl.djicdn.com/downloads/DJI_O4_Air_Unit_Series/UM/DJI_O4_Air_Unit_Series_User_Manual_v1.0_en.pdf,"This SKU is the O4 Air Unit Pro's video transmission module sold without the camera - the retail listing gives 'Compatibility: DJI O4 Air Unit Pro' and sells it for repair and replacement - so it is the same radio as the kit and carries the kit's figures from DJI's O4 Air Unit Series user manual v1.0 (section 4.3, p17). Output power in milliwatts, not EIRP. mount_mm was cleared rather than published: it held '33.5x13mm', which is two of the three figures the same listing prints as 'Dimensions: 33.5 x 33.5 x 13 mm (L x W x H)'."
EMAX,Wyvern Link (Alpha) OpenIPC - 100mW,emax-wyvern-link-alpha-openipc-100mw,,,,,100,,,89.99,Digital HD (OpenIPC),13.76,https://www.racedayquads.com/products/emax-wyvern-link-alpha-openipc-100mw-vtx,
EMAX,Wyvern Link (Alpha) V1 OpenIPC - 800mW,emax-wyvern-link-alpha-v1-openipc-800mw,,,,,800,,,107.99,Digital HD (OpenIPC),28.85,https://www.racedayquads.com/products/emax-wyvern-link-alpha-v1-openipc-800mw-vtx,
EMAX,Wyvern Link OpenIPC - 200mW,emax-wyvern-link-openipc-200mw,,,,,200,25.5x25.5mm,,89.99,Digital HD (OpenIPC),13.76,https://www.racedayquads.com/products/emax-wyvern-link-openipc-200mw-vtx,
FATSHARK,Fat Shark Aura - NDAA,fatshark-fat-shark-aura-ndaa,MMCX,,,,1000,20x20mm,,74.99,analog,13.0,https://www.racedayquads.com/products/fat-shark-aura-vtx-ndaa,
Flywoo,GOKU HM600 20x20/25x25/30x30 25-600mW 5.8GHz - U.FL,flywoo-goku-hm600-20x20-25x25-30x30-25-600mw-5-8ghz-u-fl,U.FL,37,5362-5945 MHz,,600,20x20mm,,19.99,analog,3.0,https://www.racedayquads.com/products/flywoo-goku-hm600-25-600mw-5-8ghz-20x20-25x25-30x30-vtx-u-fl,
Flywoo,GOKU HM850 20x20/25x25/30x30 25-850mW 5.8GHz - U.FL,flywoo-goku-hm850-20x20-25x25-30x30-25-850mw-5-8ghz-u-fl,U.FL,,5362-5945 MHz,,850,20x20mm,,29.99,analog,3.0,https://www.racedayquads.com/products/flywoo-goku-hm850-16x16-20x20-25x25-25-850mw-5-8ghz-vtx-u-fl,
Foxeer,HDZero 720P 20x20 25-200mw Digital HD - Race,foxeer-hdzero-720p-20x20-25-200mw-digital-hd-race,U.FL,,5.8 GHz,,200,20x20mm,,81.49,HDZero,6.3,https://www.racedayquads.com/products/foxeer-hdzero-hd-720p-25-200mw-digital-vtx-race-edition,
Foxeer,Reaper Extreme V2 4.9-6.0GHz 2.5W,foxeer-reaper-extreme-v2-4-9-6-0ghz,MMCX,80,4.9-6.0 GHz,9-36V (3-8S),2500,20x20mm M2,25 / 200 / 500 / 1500 / 2500,,analog,13.0,https://www.foxeer.com/foxeer-5-8g-reaper-extreme-v2-2-5w-72ch-vtx-g-566|https://www.arrishobby.com/products/foxeer-49g6g-reaper-extreme-v2-25w-80ch-vtx-with-mmcx-conenctor,"Wideband version of the Reaper Extreme: 80 channels spread over 4.9-6.0 GHz instead of the 40-72 channels of the 5.8 GHz-only model. 36x27.5x8 mm CNC shell, 5 V BEC for the camera, built-in microphone, 1.2 A draw at 9 V. Retailer spec blocks disagree on the top step - some list 1.5 W as the maximum while the model is sold as 2.5 W; Foxeer's own manual gives the five steps recorded here."
Foxeer,Reaper Infinity 4.9-6.0GHz 10W,foxeer-reaper-infinity-4-9-6-0ghz-10w,SMA,80,4.9-6.0 GHz,2-8S LiPo,10000,,400 / 2000 / 5000 / 7500 / 10000,,analog,,https://qwinout.com/products/foxeer-4-9g-6g-reaper-infinity-5-8g-10w-80cn-vtx-2-8s-lipo-400mw-2w-5w-7-5w-10w-switchable-transmitter-for-long-range-rc-fpv-1,"The 10 W step of the Infinity line. Output at this level is far above what most countries allow unlicensed on 5.8 GHz - check local rules before transmitting. Weight is not published consistently across listings, so it is left out rather than guessed."
Foxeer,Reaper Infinity V2 4.9-6.0GHz 5W,foxeer-reaper-infinity-v2-4-9-6-0ghz-5w,SMA,80,4.9-6.0 GHz,9-36V (3-8S),5000,,1000 / 2000 / 3000 / 4000 / 5000,,analog,58.0,https://pyrodrone.com/products/foxeer-reaper-infinity-5-8g-5w-40ch-vtx-1|https://druav.com/products/foxeer-4-9g-6g-reaper-infinity-v2-5w-80ch-vtx,"Long-range transmitter: 41x20x17 mm, 58 g including the heatsink, 5 V output for the camera. The V2 widens the original 5.8 GHz 40-channel model to 4.9-6.0 GHz and 80 channels."
Foxeer,Reaper Nano 25-350mW 5.8G Micro - U.FL,foxeer-reaper-nano-25-350mw-5-8g-micro-u-fl,U.FL,40,5.8 GHz,,350,12x16mm,,29.99,analog,,https://www.racedayquads.com/products/foxeer-reaper-nano-25-350mw-5-8g-micro-vtx-u-fl,
FT Systems,FT VTX 5.8 4W 96CH,ft-systems-ft-vtx-5-8-4w-96ch,SMA female,96,4867-5945 MHz,7-36V (2-8S),4000,20x20mm,0 (pit) / 25 / 2000 / 4000,,analog,25.85,https://ft.systems/en/video-transmitter-vtx-ft-5-8/,"Ukrainian-made transmitter, 96 channels across 12 bands covering 4867-5945 MHz. 53x28.85x16 mm with an aluminium heatsink and a cooling fan; controlled over IRC Tramp from the flight controller. FT Systems quotes measured RF output of 2200-5080 mW across the range rather than a single figure, because a wideband amplifier does not deliver the same power at every frequency - the 4000 mW here is the nominal setting."
Happymodel,OVX300 25-300mW 5.8GHz U.Fl w/ OpenVTX,happymodel-ovx300-25-300mw-5-8ghz-u-fl-w-openvtx,U.FL,,5.8 GHz,,300,15x14mm,,33.99,analog,0.9,https://www.racedayquads.com/products/happymodel-ovx300-25-300mw-5-8ghz-u-fl-vtx-w-openvtx,
